Date,Dollar
2015-07-01,96.31
2015-07-02,96.11
2015-07-03,96.11
2015-07-06,96.3
2015-07-07,96.86
2015-07-08,96.29
2015-07-09,96.61
2015-07-10,96.03
2015-07-13,96.86
2015-07-14,96.64
2015-07-15,97.17
2015-07-16,97.67
2015-07-17,97.86
2015-07-20,98.03
2015-07-21,97.33
2015-07-22,97.6
2015-07-23,97.11
2015-07-24,97.24
2015-07-27,96.5
2015-07-28,96.77
2015-07-29,96.98
2015-07-30,97.56
2015-07-31,97.34
2015-08-03,97.49
2015-08-04,97.93
2015-08-05,97.96
2015-08-06,97.83
2015-08-07,97.56
2015-08-10,97.16
2015-08-11,97.29
2015-08-12,96.26
2015-08-13,96.44
2015-08-14,96.52
2015-08-17,96.81
2015-08-18,97.04
2015-08-19,96.36
2015-08-20,95.98
2015-08-21,95.01
2015-08-24,93.33
2015-08-25,94.53
2015-08-26,95.1
2015-08-27,95.61
2015-08-28,96.11
2015-08-31,95.82
2015-09-01,95.45
2015-09-02,95.83
2015-09-03,96.41
2015-09-04,96.23
2015-09-07,96.23
2015-09-08,95.98
2015-09-09,96.01
2015-09-10,95.46
2015-09-11,95.19
2015-09-14,95.25
2015-09-15,95.61
2015-09-16,95.42
2015-09-17,94.55
2015-09-18,94.86
2015-09-21,95.89
2015-09-22,96.28
2015-09-23,96.07
2015-09-24,96.69
2015-09-25,96.27
2015-09-28,96.03
2015-09-29,95.86
2015-09-30,96.35
2015-10-01,96.19
2015-10-02,95.83
2015-10-05,96.11
2015-10-06,95.45
2015-10-07,95.5
2015-10-08,95.32
2015-10-09,94.81
2015-10-12,94.84
2015-10-13,94.76
2015-10-14,93.93
2015-10-15,94.37
2015-10-16,94.54
2015-10-19,94.93
2015-10-20,94.91
2015-10-21,95.03
2015-10-22,96.38
2015-10-23,97.13
2015-10-26,96.86
2015-10-27,96.91
2015-10-28,97.78
2015-10-29,97.28
2015-10-30,96.95
2015-11-02,96.93
2015-11-03,97.16
2015-11-04,97.95
2015-11-05,97.94
2015-11-06,99.17
2015-11-09,98.98
2015-11-10,99.29
2015-11-11,99.01
2015-11-12,98.65
2015-11-13,99.0
2015-11-16,99.44
2015-11-17,99.63
2015-11-18,99.65
2015-11-19,98.99
2015-11-20,99.56
2015-11-23,99.8
2015-11-24,99.53
2015-11-25,99.8
2015-11-26,99.8
2015-11-27,100.02
2015-11-30,100.17
2015-12-01,99.8
2015-12-02,99.99
2015-12-03,97.62
2015-12-04,98.35
2015-12-07,98.66
2015-12-08,98.47
2015-12-09,97.34
2015-12-10,97.94
2015-12-11,97.56
2015-12-14,97.6
2015-12-15,98.22
2015-12-16,97.87
2015-12-17,99.27
2015-12-18,98.7
2015-12-21,98.36
2015-12-22,98.23
2015-12-23,98.34
2015-12-24,97.98
2015-12-25,97.98
2015-12-28,97.92
2015-12-29,98.1
2015-12-30,98.27
2015-12-31,98.63
2016-01-01,98.63
2016-01-04,98.87
2016-01-05,99.4
2016-01-06,99.18
2016-01-07,98.22
2016-01-08,98.54
2016-01-11,98.72
2016-01-12,98.97
2016-01-13,98.93
2016-01-14,99.09
2016-01-15,98.96
2016-01-18,98.96
2016-01-19,98.99
2016-01-20,99.09
2016-01-21,99.06
2016-01-22,99.57
2016-01-25,99.36
2016-01-26,99.36
2016-01-27,98.9
2016-01-28,98.51
2016-01-29,99.61
2016-02-01,99.01
2016-02-02,98.87
2016-02-03,97.29
2016-02-04,96.47
2016-02-05,97.03
2016-02-08,96.57
2016-02-09,96.07
2016-02-10,95.89
2016-02-11,95.56
2016-02-12,95.94
2016-02-15,95.98
2016-02-16,96.87
2016-02-17,96.79
2016-02-18,96.95
2016-02-19,96.6
2016-02-22,97.38
2016-02-23,97.48
2016-02-24,97.46
2016-02-25,97.29
2016-02-26,98.15
2016-02-29,98.21
2016-03-01,98.35
2016-03-02,98.21
2016-03-03,97.59
2016-03-04,97.34
2016-03-07,97.07
2016-03-08,97.21
2016-03-09,97.17
2016-03-10,96.07
2016-03-11,96.17
2016-03-14,96.62
2016-03-15,96.63
2016-03-16,95.89
2016-03-17,94.76
2016-03-18,95.09
2016-03-21,95.29
2016-03-22,95.65
2016-03-23,96.05
2016-03-24,96.14
2016-03-25,96.14
2016-03-28,95.94
2016-03-29,95.16
2016-03-30,94.84
2016-03-31,94.59
2016-04-01,94.62
2016-04-04,94.51
2016-04-05,94.63
2016-04-06,94.43
2016-04-07,94.48
2016-04-08,94.23
2016-04-11,93.95
2016-04-12,93.96
2016-04-13,94.74
2016-04-14,94.9
2016-04-15,94.7
2016-04-18,94.49
2016-04-19,93.98
2016-04-20,94.49
2016-04-21,94.6
2016-04-22,95.12
2016-04-25,94.84
2016-04-26,94.57
2016-04-27,94.39
2016-04-28,93.76
2016-04-29,93.08
2016-05-02,92.63
2016-05-03,92.94
2016-05-04,93.18
2016-05-05,93.78
2016-05-06,93.89
2016-05-09,94.13
2016-05-10,94.29
2016-05-11,93.82
2016-05-12,94.15
2016-05-13,94.61
2016-05-16,94.57
2016-05-17,94.55
2016-05-18,95.08
2016-05-19,95.29
2016-05-20,95.33
2016-05-23,95.23
2016-05-24,95.57
2016-05-25,95.35
2016-05-26,95.17
2016-05-27,95.52
2016-05-30,95.52
2016-05-31,95.89
2016-06-01,95.45
2016-06-02,95.56
2016-06-03,94.03
2016-06-06,93.9
2016-06-07,93.83
2016-06-08,93.59
2016-06-09,93.95
2016-06-10,94.57
2016-06-13,94.36
2016-06-14,94.93
2016-06-15,94.61
2016-06-16,94.57
2016-06-17,94.21
2016-06-20,93.61
2016-06-21,94.02
2016-06-22,93.72
2016-06-23,93.53
2016-06-24,95.45
2016-06-27,96.54
2016-06-28,96.25
2016-06-29,95.77
2016-06-30,96.14
2016-07-01,95.65
2016-07-04,95.65
2016-07-05,96.17
2016-07-06,96.05
2016-07-07,96.33
2016-07-08,96.3
2016-07-11,96.57
2016-07-12,96.44
2016-07-13,96.22
2016-07-14,96.08
2016-07-15,96.58
2016-07-18,96.56
2016-07-19,97.06
2016-07-20,97.2
2016-07-21,97.0
2016-07-22,97.47
2016-07-25,97.29
2016-07-26,97.16
2016-07-27,97.05
2016-07-28,96.74
2016-07-29,95.53
2016-08-01,95.71
2016-08-02,95.06
2016-08-03,95.56
2016-08-04,95.76
2016-08-05,96.19
2016-08-08,96.4
2016-08-09,96.18
2016-08-10,95.65
2016-08-11,95.86
2016-08-12,95.72
2016-08-15,95.63
2016-08-16,94.79
2016-08-17,94.72
2016-08-18,94.16
2016-08-19,94.51
2016-08-22,94.52
2016-08-23,94.54
2016-08-24,94.79
2016-08-25,94.77
2016-08-26,95.57
2016-08-29,95.58
2016-08-30,96.05
2016-08-31,96.02
2016-09-01,95.65
2016-09-02,95.84
2016-09-05,95.84
2016-09-06,94.82
2016-09-07,94.96
2016-09-08,95.03
2016-09-09,95.34
2016-09-12,95.09
2016-09-13,95.63
2016-09-14,95.33
2016-09-15,95.29
2016-09-16,96.11
2016-09-19,95.84
2016-09-20,96.02
2016-09-21,95.66
2016-09-22,95.45
2016-09-23,95.48
2016-09-26,95.3
2016-09-27,95.44
2016-09-28,95.43
2016-09-29,95.53
2016-09-30,95.46
2016-10-03,95.69
2016-10-04,96.17
2016-10-05,96.12
2016-10-06,96.77
2016-10-07,96.63
2016-10-10,96.93
2016-10-11,97.69
2016-10-12,97.97
2016-10-13,97.52
2016-10-14,98.02
2016-10-17,97.89
2016-10-18,97.89
2016-10-19,97.92
2016-10-20,98.31
2016-10-21,98.69
2016-10-24,98.76
2016-10-25,98.72
2016-10-26,98.63
2016-10-27,98.89
2016-10-28,98.35
2016-10-31,98.44
2016-11-01,97.7
2016-11-02,97.4
2016-11-03,97.16
2016-11-04,97.06
2016-11-07,97.78
2016-11-08,97.86
2016-11-09,98.5
2016-11-10,98.78
