Date,Open,High,Low,Close
2019-04-02,463.5,465.75,456.0,464.0
2019-04-03,463.0,472.75,463.0,471.0
2019-04-04,471.0,477.5,468.0,470.75
2019-04-05,469.0,469.5,464.25,467.75
2019-04-08,467.25,471.0,461.75,465.25
2019-04-09,462.0,462.5,456.25,459.5
2019-04-10,459.0,461.75,455.5,458.0
2019-04-11,457.0,462.5,456.75,460.5
2019-04-12,462.0,465.25,457.5,464.5
2019-04-15,463.75,464.0,457.75,459.5
2019-04-16,458.75,460.25,442.25,445.0
2019-04-17,446.5,450.0,444.75,447.0
2019-04-18,447.25,448.25,439.25,444.25
2019-04-19,445.5,445.5,445.5,445.5
2019-04-22,444.25,444.25,435.25,435.75
2019-04-23,435.25,441.25,433.0,438.75
2019-04-24,438.0,439.5,429.75,432.25
2019-04-25,430.75,437.5,428.25,434.75
2019-04-26,433.5,439.0,433.25,435.0
2019-04-29,436.25,439.75,425.0,426.75
2019-04-30,424.0,426.0,416.25,418.5
2019-05-01,420.0,426.5,419.5,425.0
2019-05-02,428.5,438.25,428.25,433.25
2019-05-03,427.5,437.0,426.0,428.0
2019-05-06,424.75,426.25,422.0,428.0
2019-05-07,422.75,432.0,422.75,430.5
2019-05-08,430.0,430.0,430.0,431.25
2019-05-09,425.5,425.5,424.25,421.75
2019-05-10,420.5,420.5,417.75,419.0
2019-05-13,422.75,428.5,422.75,431.25
2019-05-14,440.12,450.5,437.88,439.25
2019-05-15,451.5,464.0,447.0,448.75
2019-05-16,446.25,468.5,446.25,467.0
2019-05-17,469.0,473.25,462.5,465.0
2019-05-20,469.75,484.0,468.0,478.25
2019-05-21,486.25,492.75,474.0,478.75
2019-05-22,475.75,481.0,468.5,472.75
2019-05-23,473.0,485.5,466.25,470.25
2019-05-24,469.75,490.75,467.25,489.5
2019-05-26,486.25,486.25,486.25,486.25
2019-05-28,495.0,509.25,494.5,504.75
2019-05-29,515.0,521.75,487.5,490.5
2019-05-30,488.75,515.0,482.0,514.5
2019-05-31,514.5,520.0,500.75,503.0
2019-06-03,505.75,522.75,503.0,519.75
2019-06-04,526.0,529.0,501.25,507.25
2019-06-05,507.0,508.5,488.5,490.75
2019-06-06,492.0,514.0,487.75,510.0
2019-06-07,511.0,512.75,502.0,504.5
2019-06-10,505.25,508.5,493.25,507.5
2019-06-11,504.0,518.75,500.25,518.0
2019-06-12,519.75,528.0,513.0,526.25
2019-06-13,526.0,536.5,524.75,535.5
2019-06-14,535.5,544.0,530.75,538.5
2019-06-17,540.25,549.25,537.5,539.5
2019-06-18,539.75,541.0,525.25,531.5
2019-06-19,530.25,531.0,514.25,522.25
2019-06-20,520.75,529.0,515.5,526.5
2019-06-21,527.5,529.75,523.0,526.0
2019-06-24,526.0,540.0,522.25,538.0
2019-06-25,540.25,545.5,534.0,535.75
2019-06-26,535.5,545.25,532.25,543.75
2019-06-27,545.25,555.25,541.25,547.5
2019-06-28,547.75,558.0,525.75,528.0
2019-07-01,532.0,532.0,511.75,514.0
2019-07-02,514.0,514.75,502.0,503.5
2019-07-03,504.0,518.5,503.75,518.0
2019-07-05,511.5,520.5,511.5,519.25
2019-07-08,520.0,521.5,513.0,516.75
2019-07-09,513.75,513.75,508.5,509.75
2019-07-10,506.0,512.5,506.0,511.75
2019-07-11,514.25,535.5,514.25,536.25
2019-07-12,535.0,538.5,535.0,536.25
2019-07-15,524.25,531.5,506.0,507.75
2019-07-16,507.75,510.0,501.0,507.5
2019-07-17,507.25,514.0,502.0,505.5
2019-07-18,504.0,505.25,493.0,493.5
2019-07-19,494.75,516.75,492.5,502.5
2019-07-22,505.25,505.25,487.0,487.25
2019-07-23,487.75,493.5,483.25,487.25
2019-07-24,487.25,498.75,487.25,497.75
2019-07-25,497.75,507.5,492.25,499.5
2019-07-26,499.5,500.25,493.5,496.0
2019-07-29,495.25,507.25,492.5,503.5
2019-07-30,502.25,503.25,495.0,497.25
2019-07-31,497.5,500.5,484.5,487.25
2019-08-01,486.75,488.5,471.75,475.75
2019-08-02,479.25,491.5,476.0,490.75
2019-08-05,490.25,495.0,479.25,494.5
2019-08-06,493.0,495.75,482.75,484.0
2019-08-07,484.0,490.25,477.5,488.25
2019-08-08,489.5,502.75,486.0,498.5
2019-08-09,498.25,505.25,496.0,499.5
2019-08-12,500.0,502.0,466.5,471.75
2019-08-13,471.0,478.75,465.5,472.0
2019-08-14,474.75,480.0,471.25,473.75
2019-08-15,475.75,477.25,468.5,469.0
2019-08-16,470.25,473.0,467.25,470.75
2019-08-19,469.0,470.5,464.0,465.5
2019-08-20,464.5,468.75,456.75,460.0
2019-08-21,460.0,463.0,456.0,462.5
2019-08-22,462.75,470.5,460.75,467.25
2019-08-23,466.75,475.75,461.25,475.25
2019-08-26,474.0,480.0,470.75,473.0
2019-08-27,472.75,477.5,470.75,473.75
2019-08-28,473.75,475.0,465.75,472.25
2019-08-29,472.25,474.0,468.5,469.75
2019-08-30,467.5,467.5,450.0,451.25
2019-09-03,451.5,451.5,443.5,447.25
2019-09-04,450.5,459.0,448.5,456.25
2019-09-05,462.25,465.75,462.0,464.0
2019-09-06,458.5,461.0,458.5,460.25
2019-09-09,458.5,475.0,458.5,474.5
2019-09-10,476.75,485.5,468.0,484.5
2019-09-11,489.0,489.0,479.25,477.5
2019-09-12,484.25,489.0,482.0,485.75
2019-09-13,485.38,490.88,480.62,485.75
2019-09-16,488.0,490.0,482.25,488.75
2019-09-17,487.75,487.75,480.75,484.25
2019-09-18,484.25,492.5,481.75,489.5
2019-09-19,489.25,492.0,484.5,488.0
2019-09-20,486.5,491.25,483.5,484.25
2019-09-23,485.0,487.5,481.25,483.0
2019-09-24,481.75,484.25,477.5,481.75
2019-09-25,481.0,482.25,476.25,477.25
2019-09-26,477.0,486.75,476.75,484.25
2019-09-27,486.0,490.5,482.5,487.25
2019-09-30,488.0,501.0,483.25,495.75
2019-10-01,496.5,499.25,489.75,498.75
2019-10-02,496.5,499.0,485.25,489.0
2019-10-03,488.0,493.0,485.75,488.75
2019-10-04,489.25,492.25,486.5,490.5
2019-10-07,492.0,494.5,488.5,489.25
2019-10-08,489.75,502.25,486.75,500.25
2019-10-09,500.5,504.5,497.25,500.25
2019-10-10,499.5,504.25,487.5,493.0
2019-10-11,491.75,512.75,491.25,508.0
2019-10-14,513.0,515.0,506.75,511.0
2019-10-15,510.0,511.25,504.25,507.0
2019-10-16,505.75,514.25,504.5,513.25
2019-10-17,514.25,527.0,512.75,525.5
2019-10-18,526.0,532.75,521.0,532.25
2019-10-21,532.0,535.0,522.75,523.5
2019-10-22,523.0,532.25,517.25,518.0
2019-10-23,518.0,523.75,515.75,520.75
2019-10-24,522.5,523.75,515.5,516.0
2019-10-25,517.25,522.0,514.5,517.75
2019-10-28,518.0,518.5,510.0,511.75
2019-10-29,513.0,516.0,508.25,511.5
2019-10-30,511.25,514.0,507.0,509.25
2019-10-31,510.0,512.25,501.0,508.75
2019-11-01,508.75,516.5,506.75,516.0
2019-11-04,514.25,515.25,508.0,509.75
2019-11-05,511.0,516.0,509.0,515.25
2019-11-06,515.5,521.75,513.5,516.75
2019-11-07,517.5,519.75,511.0,512.5
2019-11-08,512.5,517.75,505.5,510.25
2019-11-11,508.0,510.5,503.75,505.75
2019-11-12,506.25,517.25,505.25,517.0
2019-11-13,516.5,516.75,506.5,509.0
2019-11-14,508.75,512.0,505.5,507.75
2019-11-15,507.75,508.5,501.5,502.75
2019-11-18,503.25,510.75,498.5,507.25
2019-11-19,506.25,515.25,506.0,512.0
2019-11-20,512.0,515.75,508.0,515.5
2019-11-21,515.0,519.5,508.25,509.0
2019-11-22,509.25,518.5,508.25,515.25
2019-11-25,515.0,532.5,515.0,531.0
2019-11-26,530.75,531.75,525.5,530.25
2019-11-27,530.0,533.0,525.75,528.5
2019-11-28,526.25,526.25,526.12,526.12
2019-11-29,532.5,550.5,532.5,547.5
2019-12-02,549.5,549.75,542.75,543.25
2019-12-03,545.75,548.0,532.0,530.5
2019-12-04,531.0,535.5,529.5,535.0
2019-12-05,535.25,537.5,531.75,532.0
2019-12-06,532.75,532.75,529.0,532.5
2019-12-09,532.5,533.25,531.0,532.0
2019-12-10,532.25,537.5,529.75,534.75
2019-12-11,534.5,534.5,528.0,530.75
2019-12-12,529.75,544.0,528.75,539.25
2019-12-13,533.38,536.38,525.62,539.25
2019-12-16,534.75,556.75,534.75,549.75
2019-12-17,553.25,557.25,545.0,556.25
2019-12-18,553.25,555.0,545.25,548.25
2019-12-19,547.5,553.5,544.0,545.25
2019-12-20,545.25,549.0,538.75,542.25
2019-12-23,543.0,547.0,538.75,539.5
2019-12-24,539.5,545.0,538.5,541.0
2019-12-25,541.0,541.0,541.0,541.0
2019-12-26,540.75,552.0,540.25,549.0
2019-12-27,549.75,561.0,549.25,556.25
2019-12-30,560.0,564.5,551.5,556.0
2019-12-31,555.0,559.75,553.0,558.75
2020-01-01,559.5,559.5,559.5,559.5
2020-01-02,559.5,567.5,558.25,560.25
2020-01-03,560.75,562.0,551.75,554.5
2020-01-06,552.5,555.25,546.75,550.0
2020-01-07,549.5,551.0,545.5,550.25
2020-01-08,549.5,555.75,545.25,552.75
2020-01-09,553.75,564.0,552.75,562.25
2020-01-10,562.75,568.5,555.75,564.5
2020-01-13,565.25,565.75,558.5,562.25
2020-01-14,562.25,573.0,559.25,568.5
2020-01-15,569.0,578.75,568.25,573.25
2020-01-16,573.5,573.5,560.0,565.25
2020-01-17,565.5,572.5,564.25,570.5
2020-01-19,571.12,571.12,570.75,570.75
2020-01-20,569.5,569.75,569.5,569.75
2020-01-21,572.5,582.75,566.75,581.5
2020-01-22,581.5,592.5,574.5,577.75
2020-01-23,577.75,583.0,575.25,580.5
2020-01-24,581.75,581.75,569.5,573.5
2020-01-27,567.75,573.25,559.5,572.25
2020-01-28,573.0,576.5,565.5,569.75
2020-01-29,571.0,573.25,561.0,562.25
2020-01-30,562.5,562.5,550.75,560.5
2020-01-31,562.5,566.0,552.75,553.75
2020-02-03,551.25,558.0,546.5,555.5
2020-02-04,554.25,564.25,553.5,557.25
2020-02-05,559.25,563.75,555.5,562.0
2020-02-06,563.75,565.5,555.75,556.25
