,Date,Open,High,Low,Close,Volume,Currency,month,year,month_name
854,2015-02-27,507.0,523.0,502.0,517.5,2654,USD,2,2015,February
855,2015-03-02,517.25,521.25,507.25,508.0,2490,USD,3,2015,March
856,2015-03-03,508.5,509.5,500.5,508.75,1527,USD,3,2015,March
857,2015-03-04,507.0,509.0,491.25,493.5,1558,USD,3,2015,March
858,2015-03-05,491.75,492.75,481.0,481.25,609,USD,3,2015,March
859,2015-03-06,482.25,489.0,482.25,485.75,305,USD,3,2015,March
860,2015-03-09,491.25,499.75,491.25,494.25,54,USD,3,2015,March
861,2015-03-10,490.75,492.25,489.0,496.5,83,USD,3,2015,March
862,2015-03-11,502.75,503.75,501.5,503.0,26,USD,3,2015,March
863,2015-03-12,503.0,516.75,503.0,513.25,29,USD,3,2015,March
864,2015-03-13,520.25,520.25,508.25,508.75,25,USD,3,2015,March
865,2015-03-16,503.25,515.75,493.0,514.0,59482,USD,3,2015,March
866,2015-03-17,515.5,518.0,503.0,503.5,51560,USD,3,2015,March
867,2015-03-18,503.0,512.5,500.75,510.75,44511,USD,3,2015,March
868,2015-03-19,516.0,520.0,505.25,512.0,55533,USD,3,2015,March
869,2015-03-20,511.0,530.5,510.0,530.0,70791,USD,3,2015,March
870,2015-03-23,533.25,540.5,531.75,534.0,58101,USD,3,2015,March
871,2015-03-24,531.25,531.75,522.5,523.5,57560,USD,3,2015,March
872,2015-03-25,523.0,528.25,516.0,519.0,46777,USD,3,2015,March
873,2015-03-26,519.0,525.25,498.25,499.25,84097,USD,3,2015,March
874,2015-03-27,499.0,509.0,499.0,507.75,55820,USD,3,2015,March
875,2015-03-30,513.25,531.0,508.75,530.25,88442,USD,3,2015,March
876,2015-03-31,531.75,531.75,509.0,511.75,103920,USD,3,2015,March
877,2015-04-01,513.0,529.0,506.0,528.5,83997,USD,4,2015,April
878,2015-04-02,528.0,544.25,522.5,536.25,93322,USD,4,2015,April
879,2015-04-03,536.25,536.25,536.25,536.25,0,USD,4,2015,April
880,2015-04-06,537.5,543.75,525.0,527.75,53328,USD,4,2015,April
881,2015-04-07,526.0,534.0,517.75,526.0,81410,USD,4,2015,April
882,2015-04-08,528.0,530.75,518.25,526.25,91366,USD,4,2015,April
883,2015-04-09,525.5,526.75,513.75,518.75,92579,USD,4,2015,April
884,2015-04-10,518.0,527.5,515.5,526.5,97676,USD,4,2015,April
885,2015-04-13,518.0,520.0,501.5,502.25,105802,USD,4,2015,April
886,2015-04-14,504.25,506.25,496.25,497.0,89811,USD,4,2015,April
887,2015-04-15,498.5,503.75,490.0,490.75,74272,USD,4,2015,April
888,2015-04-16,490.0,495.5,489.0,494.5,69497,USD,4,2015,April
889,2015-04-17,494.25,499.75,490.75,494.5,45430,USD,4,2015,April
890,2015-04-20,495.0,499.25,492.0,498.75,50204,USD,4,2015,April
891,2015-04-21,498.5,506.5,494.25,500.75,44517,USD,4,2015,April
892,2015-04-22,500.25,504.75,496.25,498.75,25143,USD,4,2015,April
893,2015-04-23,499.5,503.5,497.5,497.75,31255,USD,4,2015,April
894,2015-04-24,498.25,499.5,485.0,486.0,29515,USD,4,2015,April
895,2015-04-27,486.5,488.0,469.5,470.25,19322,USD,4,2015,April
896,2015-04-28,472.0,474.0,460.0,471.5,17459,USD,4,2015,April
897,2015-04-29,472.0,478.25,469.0,477.25,13223,USD,4,2015,April
898,2015-04-30,477.0,481.75,465.0,467.0,2722,USD,4,2015,April
899,2015-05-01,469.5,472.5,465.25,470.0,688,USD,5,2015,May
900,2015-05-04,471.75,471.75,464.0,469.25,451,USD,5,2015,May
901,2015-05-05,468.75,469.75,460.0,464.0,280,USD,5,2015,May
902,2015-05-06,467.0,478.25,464.25,475.75,197,USD,5,2015,May
903,2015-05-07,472.75,478.0,470.0,465.75,176,USD,5,2015,May
904,2015-05-08,468.0,470.5,468.0,476.5,142,USD,5,2015,May
905,2015-05-11,473.5,475.0,473.5,476.25,30,USD,5,2015,May
906,2015-05-12,476.5,489.75,476.5,479.25,194,USD,5,2015,May
907,2015-05-13,481.25,481.75,472.75,481.0,37,USD,5,2015,May
908,2015-05-14,490.25,503.25,490.25,501.75,6,USD,5,2015,May
909,2015-05-15,515.0,519.75,506.0,511.0,96766,USD,5,2015,May
910,2015-05-18,511.0,530.25,508.0,521.75,89702,USD,5,2015,May
911,2015-05-19,519.75,524.75,503.75,510.25,84320,USD,5,2015,May
912,2015-05-20,511.0,515.75,503.0,513.0,82319,USD,5,2015,May
913,2015-05-21,514.5,528.0,511.0,522.0,91976,USD,5,2015,May
914,2015-05-22,521.5,529.0,511.0,515.25,76964,USD,5,2015,May
915,2015-05-26,515.25,519.75,492.0,493.5,102712,USD,5,2015,May
916,2015-05-27,496.0,496.25,482.0,487.75,103568,USD,5,2015,May
917,2015-05-28,489.0,494.75,483.0,488.75,80155,USD,5,2015,May
918,2015-05-29,488.0,489.25,474.5,477.0,81444,USD,5,2015,May
919,2015-06-01,478.0,495.5,474.0,493.75,90078,USD,6,2015,June
920,2015-06-02,495.25,513.25,493.0,512.5,96582,USD,6,2015,June
921,2015-06-03,513.75,526.25,508.25,510.75,116592,USD,6,2015,June
922,2015-06-04,510.0,524.25,504.0,523.75,100423,USD,6,2015,June
923,2015-06-05,525.0,534.0,516.0,517.0,145062,USD,6,2015,June
924,2015-06-08,517.0,532.75,516.0,528.0,103337,USD,6,2015,June
925,2015-06-09,527.5,537.25,524.0,532.25,113552,USD,6,2015,June
926,2015-06-10,533.25,537.5,512.5,513.5,154342,USD,6,2015,June
927,2015-06-11,514.0,515.5,502.5,504.25,96999,USD,6,2015,June
928,2015-06-12,504.0,510.75,500.5,503.75,60187,USD,6,2015,June
929,2015-06-15,503.75,503.75,486.0,489.25,85937,USD,6,2015,June
930,2015-06-16,489.0,495.0,487.0,488.75,67525,USD,6,2015,June
931,2015-06-17,490.75,499.75,489.75,491.25,70462,USD,6,2015,June
932,2015-06-18,491.5,498.0,487.25,488.0,59159,USD,6,2015,June
933,2015-06-19,487.5,492.25,483.5,488.5,58134,USD,6,2015,June
934,2015-06-22,487.75,504.0,487.25,501.25,46204,USD,6,2015,June
935,2015-06-23,501.75,522.75,501.75,521.5,61302,USD,6,2015,June
936,2015-06-24,522.25,530.0,514.25,518.0,47285,USD,6,2015,June
937,2015-06-25,517.25,533.0,513.0,532.0,39891,USD,6,2015,June
938,2015-06-26,532.0,566.25,530.25,562.25,79507,USD,6,2015,June
939,2015-06-29,557.0,587.0,556.5,580.5,34257,USD,6,2015,June
940,2015-06-30,581.0,613.5,575.75,614.75,6344,USD,6,2015,June
941,2015-07-01,611.5,615.75,576.5,587.5,1985,USD,7,2015,July
942,2015-07-02,587.25,596.5,571.0,585.75,1707,USD,7,2015,July
943,2015-07-03,588.25,588.25,588.25,588.25,0,USD,7,2015,July
944,2015-07-06,580.0,591.25,567.25,588.5,1141,USD,7,2015,July
945,2015-07-07,587.75,587.75,573.0,579.5,839,USD,7,2015,July
946,2015-07-08,576.0,581.5,570.0,572.25,438,USD,7,2015,July
947,2015-07-09,577.75,580.0,572.75,572.25,195,USD,7,2015,July
948,2015-07-10,573.5,581.25,565.0,581.5,415,USD,7,2015,July
949,2015-07-13,581.5,586.75,573.25,586.75,441,USD,7,2015,July
950,2015-07-14,587.25,589.75,582.0,583.5,78,USD,7,2015,July
951,2015-07-15,569.5,569.75,558.5,566.75,73106,USD,7,2015,July
952,2015-07-16,567.5,574.0,561.5,562.25,62170,USD,7,2015,July
953,2015-07-17,561.75,561.75,546.0,554.0,66022,USD,7,2015,July
954,2015-07-20,553.0,553.0,530.5,532.75,64326,USD,7,2015,July
955,2015-07-21,533.5,537.75,523.75,524.75,71225,USD,7,2015,July
956,2015-07-22,524.0,528.25,515.25,516.75,71935,USD,7,2015,July
957,2015-07-23,516.75,527.0,516.5,521.5,53193,USD,7,2015,July
958,2015-07-24,520.75,523.75,509.5,511.75,55254,USD,7,2015,July
959,2015-07-27,511.0,511.75,501.25,502.5,61326,USD,7,2015,July
960,2015-07-28,502.5,512.5,501.75,510.75,78774,USD,7,2015,July
961,2015-07-29,512.0,512.5,495.5,496.25,68770,USD,7,2015,July
962,2015-07-30,495.75,504.75,493.75,496.5,69188,USD,7,2015,July
963,2015-07-31,496.75,503.5,495.75,499.25,64474,USD,7,2015,July
964,2015-08-03,497.25,501.75,490.5,499.0,56799,USD,8,2015,August
965,2015-08-04,499.0,506.75,491.25,493.5,63486,USD,8,2015,August
966,2015-08-05,494.25,504.5,492.0,502.0,67497,USD,8,2015,August
967,2015-08-06,502.0,514.0,498.25,507.0,89887,USD,8,2015,August
968,2015-08-07,507.75,514.0,503.75,510.5,82793,USD,8,2015,August
969,2015-08-10,512.0,530.0,509.25,525.5,89220,USD,8,2015,August
970,2015-08-11,522.5,524.25,504.0,507.25,95677,USD,8,2015,August
971,2015-08-12,507.25,514.75,484.0,492.25,103263,USD,8,2015,August
